Label,Class
Seq1,crystallizable
Seq2,crystallizable
Seq3,crystallizable
Seq4,crystallizable
Seq5,crystallizable
Seq6,crystallizable
Seq7,crystallizable
Seq8,crystallizable
Seq9,crystallizable
Seq10,crystallizable
Seq11,crystallizable
Seq12,crystallizable
Seq13,crystallizable
Seq14,crystallizable
Seq15,crystallizable
Seq16,crystallizable
Seq17,crystallizable
Seq18,crystallizable
Seq19,crystallizable
Seq20,crystallizable
Seq21,crystallizable
Seq22,crystallizable
Seq23,crystallizable
Seq24,crystallizable
Seq25,crystallizable
Seq26,crystallizable
Seq27,crystallizable
Seq28,crystallizable
Seq29,crystallizable
Seq30,crystallizable
Seq31,crystallizable
Seq32,crystallizable
Seq33,crystallizable
Seq34,crystallizable
Seq35,crystallizable
Seq36,crystallizable
Seq37,crystallizable
Seq38,crystallizable
Seq39,crystallizable
Seq40,crystallizable
Seq41,crystallizable
Seq42,crystallizable
Seq43,crystallizable
Seq44,crystallizable
Seq45,crystallizable
Seq46,crystallizable
Seq47,crystallizable
Seq48,crystallizable
Seq49,crystallizable
Seq50,crystallizable
Seq51,crystallizable
Seq52,crystallizable
Seq53,crystallizable
Seq54,crystallizable
Seq55,crystallizable
Seq56,crystallizable
Seq57,crystallizable
Seq58,crystallizable
Seq59,crystallizable
Seq60,crystallizable
Seq61,crystallizable
Seq62,crystallizable
Seq63,crystallizable
Seq64,crystallizable
Seq65,crystallizable
Seq66,crystallizable
Seq67,crystallizable
Seq68,crystallizable
Seq69,crystallizable
Seq70,crystallizable
Seq71,crystallizable
Seq72,crystallizable
Seq73,crystallizable
Seq74,crystallizable
Seq75,crystallizable
Seq76,crystallizable
Seq77,crystallizable
Seq78,crystallizable
Seq79,crystallizable
Seq80,crystallizable
Seq81,crystallizable
Seq82,crystallizable
Seq83,crystallizable
Seq84,crystallizable
Seq85,crystallizable
Seq86,crystallizable
Seq87,crystallizable
Seq88,crystallizable
Seq89,crystallizable
Seq90,crystallizable
Seq91,crystallizable
Seq92,crystallizable
Seq93,crystallizable
Seq94,crystallizable
Seq95,crystallizable
Seq96,crystallizable
Seq97,crystallizable
Seq98,crystallizable
Seq99,crystallizable
Seq100,crystallizable
Seq101,crystallizable
Seq102,crystallizable
Seq103,crystallizable
Seq104,crystallizable
Seq105,crystallizable
Seq106,crystallizable
Seq107,crystallizable
Seq108,crystallizable
Seq109,crystallizable
Seq110,crystallizable
Seq111,crystallizable
Seq112,crystallizable
Seq113,crystallizable
Seq114,crystallizable
Seq115,crystallizable
Seq116,crystallizable
Seq117,crystallizable
Seq118,crystallizable
Seq119,crystallizable
Seq120,crystallizable
Seq121,crystallizable
Seq122,crystallizable
Seq123,crystallizable
Seq124,crystallizable
Seq125,crystallizable
Seq126,crystallizable
Seq127,crystallizable
Seq128,crystallizable
Seq129,crystallizable
Seq130,crystallizable
Seq131,crystallizable
Seq132,crystallizable
Seq133,crystallizable
Seq134,crystallizable
Seq135,crystallizable
Seq136,crystallizable
Seq137,crystallizable
Seq138,crystallizable
Seq139,crystallizable
Seq140,crystallizable
Seq141,crystallizable
Seq142,crystallizable
Seq143,crystallizable
Seq144,crystallizable
Seq145,crystallizable
Seq146,crystallizable
Seq147,crystallizable
Seq148,crystallizable
Seq149,non-crystallizable
Seq150,non-crystallizable
Seq151,non-crystallizable
Seq152,non-crystallizable
Seq153,non-crystallizable
Seq154,non-crystallizable
Seq155,non-crystallizable
Seq156,non-crystallizable
Seq157,non-crystallizable
Seq158,non-crystallizable
Seq159,non-crystallizable
Seq160,non-crystallizable
Seq161,non-crystallizable
Seq162,non-crystallizable
Seq163,non-crystallizable
Seq164,non-crystallizable
Seq165,non-crystallizable
Seq166,non-crystallizable
Seq167,non-crystallizable
Seq168,non-crystallizable
Seq169,non-crystallizable
Seq170,non-crystallizable
Seq171,non-crystallizable
Seq172,non-crystallizable
Seq173,non-crystallizable
Seq174,non-crystallizable
Seq175,non-crystallizable
Seq176,non-crystallizable
Seq177,non-crystallizable
Seq178,non-crystallizable
Seq179,non-crystallizable
Seq180,non-crystallizable
Seq181,non-crystallizable
Seq182,non-crystallizable
Seq183,non-crystallizable
Seq184,non-crystallizable
Seq185,non-crystallizable
Seq186,non-crystallizable
Seq187,non-crystallizable
Seq188,non-crystallizable
Seq189,non-crystallizable
Seq190,non-crystallizable
Seq191,non-crystallizable
Seq192,non-crystallizable
Seq193,non-crystallizable
Seq194,non-crystallizable
Seq195,non-crystallizable
Seq196,non-crystallizable
Seq197,non-crystallizable
Seq198,non-crystallizable
Seq199,non-crystallizable
Seq200,non-crystallizable
Seq201,non-crystallizable
Seq202,non-crystallizable
Seq203,non-crystallizable
Seq204,non-crystallizable
Seq205,non-crystallizable
Seq206,non-crystallizable
Seq207,non-crystallizable
Seq208,non-crystallizable
Seq209,non-crystallizable
Seq210,non-crystallizable
Seq211,non-crystallizable
Seq212,non-crystallizable
Seq213,non-crystallizable
Seq214,non-crystallizable
Seq215,non-crystallizable
Seq216,non-crystallizable
Seq217,non-crystallizable
Seq218,non-crystallizable
Seq219,non-crystallizable
Seq220,non-crystallizable
Seq221,non-crystallizable
Seq222,non-crystallizable
Seq223,non-crystallizable
Seq224,non-crystallizable
Seq225,non-crystallizable
Seq226,non-crystallizable
Seq227,non-crystallizable
Seq228,non-crystallizable
Seq229,non-crystallizable
Seq230,non-crystallizable
Seq231,non-crystallizable
Seq232,non-crystallizable
Seq233,non-crystallizable
Seq234,non-crystallizable
Seq235,non-crystallizable
Seq236,non-crystallizable
Seq237,non-crystallizable
