Methods,Prot-142,Prot-630,Prot-851,Prot-1120,Prot-1302
ESM2 T6-8M,0.718,0.823,0.93,0.551,0.825
ESM2 T12-35M,0.718,0.823,0.93,0.551,0.825
ESM2 T30-150M,0.903,0.633,0.935,0.902,0.527
ESM2 T33-650M,0.576,0.525,0.582,0.576,0.505
ESM2 T36-3B,0.846,0.622,0.994,0.971,0.646
Ankh,0.868,0.592,0.981,0.568,0.737
Ankh-Large,0.689,0.507,0.975,0.577,0.723
ProstT5,0.722,0.635,0.991,0.619,0.565
ProtT5-XL,0.946,0.722,0.972,0.955,0.548
Consensus,0.776,0.654,0.921,0.697,0.656
DeepCrystal,0.805,0.642,0.999,0.448,0.878
CLPred,0.771,0.485,0.919,0.71,0.557
