crystallizable,non-crystallizable,Label
-0.31708646,1.3170865,Train129
3.881925,-2.881925,Train970
-4.3440127,5.3440127,Train13382
-0.54142,1.54142,Train7116
1.29124,-0.29123995,Train3075
-2.6193018,3.6193018,Train7977
-2.7200332,3.7200332,Train13310
2.0091052,-1.0091052,Train3276
-2.8607287,3.8607287,Train16850
2.555772,-1.5557721,Train7608
-0.84048283,1.8404828,Train14790
0.460334,0.539666,Train18573
-3.7985725,4.7985725,Train24606
0.66496444,0.3350356,Train15327
-0.5314255,1.5314255,Train17103
2.297455,-1.2974551,Train1041
-2.2095308,3.2095308,Train23471
-4.818564,5.818564,Train13829
-2.8877785,3.8877785,Train12496
0.48823577,0.5117642,Train1852
0.7902226,0.20977741,Train666
2.023974,-1.0239738,Train2635
-3.5265827,4.5265827,Train24588
-0.4326204,1.4326204,Train14678
0.81280154,0.18719848,Train23965
-3.0134215,4.0134215,Train22227
-0.9511882,1.9511882,Train8511
0.07034814,0.92965186,Train19469
2.2201805,-1.2201804,Train361
0.9347527,0.06524727,Train768
0.2720278,0.7279722,Train3793
-0.5630168,1.5630168,Train1756
1.8577659,-0.857766,Train260
-2.553074,3.553074,Train22784
1.7777066,-0.77770656,Train1794
-2.573223,3.573223,Train10742
-0.5100367,1.5100367,Train4844
-2.8586106,3.8586106,Train13252
0.4570579,0.5429421,Train366
-0.8986926,1.8986926,Train7275
-3.328342,4.328342,Train12118
-1.6813481,2.681348,Train21493
-0.099787116,1.0997871,Train7072
-2.5415916,3.5415916,Train24658
-0.7736381,1.7736381,Train19160
1.3849269,-0.3849269,Train2228
-1.6747639,2.674764,Train10364
-1.259706,2.259706,Train729
3.141163,-2.141163,Train2921
-4.049726,5.049726,Train11749
1.3179955,-0.31799552,Train730
0.8684984,0.13150163,Train8275
-0.11399281,1.1139928,Train25153
1.4787471,-0.47874707,Train8749
0.5271578,0.4728422,Train3920
-2.190519,3.190519,Train12083
-3.4647813,4.4647813,Train17343
1.2491045,-0.24910446,Train1513
0.25682682,0.7431732,Train3832
-1.4574776,2.4574776,Train4918
0.0038427114,0.9961573,Train16327
-2.1479456,3.1479456,Train24702
-2.9075518,3.9075518,Train8082
-0.30531323,1.3053132,Train14912
-1.8345335,2.8345335,Train15402
-0.99246776,1.9924678,Train24443
-4.3858347,5.3858347,Train13874
-0.39113474,1.3911347,Train16211
-1.7534873,2.7534873,Train16172
-2.9372633,3.9372633,Train12297
-0.9007398,1.9007398,Train7535
3.6224465,-2.6224465,Train216
