crystallizable,non-crystallizable,Label
0.03019166,0.96980834,Train129
4.142772,-3.1427722,Train970
-4.862956,5.862956,Train13382
0.58464396,0.415356,Train7116
0.20546645,0.79453355,Train3075
-3.2966847,4.2966847,Train7977
-2.424509,3.424509,Train13310
1.8817241,-0.88172406,Train3276
-2.9254193,3.9254193,Train16850
1.8906515,-0.89065146,Train7608
-1.6962655,2.6962655,Train14790
0.112965584,0.8870344,Train18573
-3.987473,4.987473,Train24606
0.3429038,0.6570962,Train15327
-0.9787226,1.9787226,Train17103
2.6279473,-1.6279472,Train1041
-1.444449,2.444449,Train23471
-3.697188,4.697188,Train13829
-4.1029363,5.1029363,Train12496
-0.02671218,1.0267122,Train1852
2.3745904,-1.3745903,Train666
2.5891309,-1.5891309,Train2635
-2.8079405,3.8079405,Train24588
0.53273475,0.46726528,Train14678
1.0214344,-0.02143437,Train23965
-4.0593266,5.0593266,Train22227
-0.5501106,1.5501106,Train8511
-2.148827,3.148827,Train19469
-0.5478642,1.5478642,Train361
1.5597309,-0.5597309,Train768
0.36504322,0.6349568,Train3793
-1.0719888,2.0719888,Train1756
1.0226259,-0.02262591,Train260
-2.1146996,3.1146996,Train22784
2.0985281,-1.0985281,Train1794
-2.1821253,3.1821253,Train10742
-1.0637548,2.0637548,Train4844
-3.889585,4.889585,Train13252
1.2143574,-0.21435739,Train366
-1.2868776,2.2868776,Train7275
-3.9812012,4.981201,Train12118
-2.6802633,3.6802633,Train21493
-0.45026815,1.4502681,Train7072
-2.3338087,3.3338087,Train24658
1.1088986,-0.10889858,Train19160
-0.8892436,1.8892436,Train2228
-2.1735168,3.1735168,Train10364
1.2976888,-0.2976888,Train729
3.275606,-2.275606,Train2921
-4.3841686,5.3841686,Train11749
1.3598378,-0.3598377,Train730
0.9953687,0.004631264,Train8275
-0.2883396,1.2883396,Train25153
2.5046487,-1.5046488,Train8749
0.4820761,0.5179239,Train3920
-3.3858004,4.3858004,Train12083
-2.6487048,3.6487048,Train17343
1.7347554,-0.7347554,Train1513
1.5767095,-0.5767095,Train3832
-2.1138513,3.1138513,Train4918
-0.52580655,1.5258065,Train16327
-4.376599,5.376599,Train24702
-2.5676572,3.5676572,Train8082
0.8286029,0.17139709,Train14912
-2.8328571,3.8328571,Train15402
-0.31280065,1.3128006,Train24443
-3.2709508,4.270951,Train13874
-1.5249114,2.5249114,Train16211
-1.8175447,2.8175447,Train16172
-3.6446586,4.6446586,Train12297
-0.79139495,1.791395,Train7535
3.442194,-2.442194,Train216
-2.2568512,3.2568512,Train3352
-3.9704351,4.970435,Train13873
-0.7257489,1.7257489,Train3754
-1.1522532,2.1522532,Train5540
1.0361696,-0.036169678,Train5174
-3.008409,4.008409,Train18072
-1.7490928,2.7490928,Train5070
-2.1298788,3.1298788,Train21065
0.33369088,0.6663091,Train4370
-0.5226512,1.5226512,Train16801
-0.4653139,1.4653139,Train23305
-1.1033156,2.1033156,Train14973
-1.0143983,2.0143983,Train14703
1.3060085,-0.30600843,Train518
-0.7104714,1.7104714,Train6983
-3.632781,4.632781,Train11956
-1.2167416,2.2167416,Train16410
-0.10106897,1.101069,Train3113
-2.3375802,3.3375802,Train21262
-4.1647234,5.1647234,Train24621
-2.4342086,3.4342086,Train13150
0.2916261,0.7083739,Train8231
1.191644,-0.19164398,Train16305
-3.0713944,4.0713944,Train19492
0.2721237,0.7278763,Train3470
-3.796175,4.796175,Train21873
-1.8228722,2.8228722,Train7987
-0.10988188,1.1098819,Train17950
-2.3323464,3.3323464,Train14577
-2.4326446,3.4326446,Train18285
-2.961172,3.961172,Train11566
0.69863605,0.30136392,Train3604
-0.669721,1.669721,Train5874
0.90933657,0.090663455,Train5394
0.98905355,0.010946453,Train638
0.19581485,0.80418515,Train442
-2.9665835,3.9665835,Train25826
-2.6339006,3.6339006,Train22848
1.7381134,-0.73811334,Train2550
-0.6051266,1.6051266,Train4013
-1.4574108,2.4574108,Train20640
-2.330551,3.330551,Train17199
-0.7731105,1.7731105,Train6021
1.0575373,-0.057537287,Train5508
1.3311086,-0.33110857,Train1669
-4.546216,5.546216,Train22895
1.2002512,-0.20025125,Train4451
-1.5673957,2.5673957,Train18323
-2.2266445,3.2266445,Train25720
0.76856804,0.23143196,Train7234
1.6138092,-0.6138092,Train6971
-4.265832,5.265832,Train8022
2.065746,-1.0657461,Train510
0.74965954,0.25034043,Train9032
-0.9721708,1.9721708,Train25475
0.8020095,0.19799049,Train14863
0.09853053,0.90146947,Train434
0.15640205,0.84359795,Train4131
-1.5943513,2.5943513,Train23480
0.9437608,0.056239184,Train2467
-0.3350346,1.3350346,Train3851
-2.7235367,3.7235367,Train24802
-1.5820706,2.5820706,Train9238
-0.9879261,1.9879261,Train8009
1.2605265,-0.2605265,Train205
2.4338384,-1.4338385,Train2692
-3.6542335,4.6542335,Train11778
1.5382414,-0.53824145,Train9605
2.4004924,-1.4004924,Train14676
-1.4229,2.4229,Train16320
-3.9367657,4.9367657,Train13282
0.7588286,0.24117142,Train15212
-0.5784104,1.5784104,Train8937
2.2190866,-1.2190868,Train23122
-4.272998,5.272998,Train14281
1.29199,-0.29199004,Train7902
-3.7251592,4.725159,Train6921
1.0348332,-0.034833238,Train1428
-0.14032495,1.140325,Train9076
-0.9995688,1.9995688,Train9172
0.5800469,0.41995308,Train5278
-0.047742248,1.0477422,Train23911
1.6248221,-0.62482214,Train3331
0.28198773,0.7180123,Train9343
-2.87612,3.87612,Train13649
1.6874931,-0.68749315,Train68
1.236704,-0.23670402,Train1538
1.6159232,-0.61592317,Train3094
-0.3273803,1.3273803,Train18430
2.3414152,-1.3414152,Train3656
-1.8933256,2.8933256,Train24286
-2.8646758,3.8646758,Train22131
-1.5738218,2.5738218,Train6078
-1.0763786,2.0763786,Train8061
0.800071,0.19992898,Train1204
1.5275481,-0.5275481,Train14426
-3.5661836,4.5661836,Train11946
1.6734228,-0.6734228,Train1508
2.2450657,-1.2450656,Train8024
-0.086173534,1.0861735,Train8438
-0.711905,1.711905,Train21577
-4.5384946,5.5384946,Train12902
-4.2128944,5.2128944,Train11463
-1.1446655,2.1446655,Train9732
-4.0521917,5.0521917,Train13365
-2.1828961,3.1828961,Train24384
-3.7664752,4.766475,Train7062
-2.8316598,3.8316598,Train25733
-0.24994183,1.2499418,Train4829
-3.978518,4.978518,Train11909
1.8205838,-0.8205839,Train1340
-4.643117,5.643117,Train12090
2.510755,-1.510755,Train1888
1.8808632,-0.8808632,Train2792
1.5819066,-0.58190656,Train483
0.09425485,0.90574515,Train25366
-0.070798516,1.0707985,Train8365
-3.1313968,4.131397,Train25893
2.120181,-1.120181,Train5180
0.7845671,0.2154329,Train73
-0.29383194,1.293832,Train3463
0.8976686,0.102331415,Train1021
-1.2674475,2.2674475,Train7446
1.2209209,-0.22092089,Train4338
-0.1477083,1.1477083,Train542
0.17903149,0.8209685,Train18792
0.7236906,0.2763094,Train20251
-1.7490709,2.749071,Train17557
-2.5196612,3.5196612,Train13214
-3.158083,4.158083,Train25920
0.32186013,0.67813987,Train8345
-1.5894432,2.5894432,Train11063
2.148348,-1.1483481,Train1448
-0.8090209,1.8090209,Train1094
-1.2381594,2.2381594,Train10017
0.4519847,0.5480153,Train2947
0.2954886,0.7045114,Train2466
-1.825515,2.825515,Train15368
-1.3161364,2.3161364,Train15264
-1.2745974,2.2745974,Train25617
0.16791582,0.8320842,Train9253
0.11064905,0.88935095,Train18730
2.1730309,-1.173031,Train445
1.3856099,-0.38560992,Train2223
-3.0195994,4.0195994,Train14980
