crystallizable,non-crystallizable,Label
0.3033365,0.6966635,Train129
3.4218285,-2.4218285,Train970
-6.7746334,7.7746334,Train13382
-1.9093568,2.9093568,Train7116
0.11517215,0.88482785,Train3075
-4.822824,5.822824,Train7977
-3.8136077,4.8136077,Train13310
2.8249698,-1.8249696,Train3276
-3.7497196,4.7497196,Train16850
3.5361626,-2.5361626,Train7608
-4.923838,5.923838,Train14790
-0.22070158,1.2207016,Train18573
-4.5997286,5.5997286,Train24606
-0.21612859,1.2161286,Train15327
-0.3127079,1.3127079,Train17103
1.6015449,-0.6015449,Train1041
-1.7888858,2.7888858,Train23471
-5.855142,6.855142,Train13829
-6.1297283,7.1297283,Train12496
0.23348898,0.766511,Train1852
2.4625254,-1.4625254,Train666
2.8407044,-1.8407043,Train2635
-6.2587376,7.2587376,Train24588
0.60582507,0.3941749,Train14678
0.39052498,0.609475,Train23965
-4.0410986,5.0410986,Train22227
-1.6151669,2.615167,Train8511
-3.2955189,4.295519,Train19469
1.9418161,-0.9418161,Train361
1.651144,-0.651144,Train768
-0.91659784,1.9165978,Train3793
-1.1124327,2.1124327,Train1756
3.7216582,-2.7216582,Train260
-2.4979832,3.4979832,Train22784
2.0835435,-1.0835435,Train1794
-5.0392456,6.0392456,Train10742
-1.3614676,2.3614676,Train4844
-3.9473438,4.947344,Train13252
1.9539549,-0.953955,Train366
-1.2378054,2.2378054,Train7275
-5.114238,6.114238,Train12118
-3.0650415,4.0650415,Train21493
-4.0214114,5.0214114,Train7072
-3.8155642,4.815564,Train24658
-2.8396797,3.8396797,Train19160
1.0917991,-0.091799125,Train2228
-2.297292,3.297292,Train10364
-0.3577857,1.3577857,Train729
4.279932,-3.279932,Train2921
-5.4044337,6.4044337,Train11749
1.8636117,-0.8636117,Train730
-0.19005585,1.1900558,Train8275
-4.210341,5.210341,Train25153
2.539009,-1.5390091,Train8749
-0.39674616,1.3967462,Train3920
-3.921855,4.921855,Train12083
-4.660222,5.660222,Train17343
0.069947004,0.930053,Train1513
0.81909674,0.18090327,Train3832
-3.3732414,4.3732414,Train4918
-1.5594358,2.5594358,Train16327
-6.6589046,7.6589046,Train24702
-5.8163004,6.8163004,Train8082
-0.357638,1.357638,Train14912
-2.606714,3.606714,Train15402
0.58579624,0.41420373,Train24443
-5.522838,6.522838,Train13874
-1.6634014,2.6634014,Train16211
