crystallizable,non-crystallizable,Label
1.1741569,-0.17415684,Train129
4.2481966,-3.2481966,Train970
-3.9922457,4.9922457,Train13382
-3.5579343,4.5579343,Train7116
0.28036273,0.7196373,Train3075
-3.725204,4.725204,Train7977
-3.566958,4.566958,Train13310
1.3067021,-0.30670217,Train3276
-3.713204,4.713204,Train16850
1.4226434,-0.42264342,Train7608
-1.8994908,2.8994908,Train14790
0.7021357,0.2978643,Train18573
-3.8381271,4.838127,Train24606
1.1422122,-0.1422121,Train15327
0.46429157,0.5357084,Train17103
0.8399789,0.16002111,Train1041
-1.2487969,2.248797,Train23471
-4.734114,5.734114,Train13829
-4.37402,5.37402,Train12496
1.7028303,-0.7028303,Train1852
0.40796167,0.59203833,Train666
1.4805855,-0.4805855,Train2635
-4.4562373,5.4562373,Train24588
0.31915474,0.68084526,Train14678
0.7823456,0.21765442,Train23965
-2.750475,3.750475,Train22227
-1.4055028,2.4055028,Train8511
-0.87120724,1.8712072,Train19469
1.5332191,-0.5332191,Train361
0.5472091,0.45279092,Train768
-0.57071364,1.5707136,Train3793
0.02051413,0.97948587,Train1756
2.755382,-1.7553822,Train260
-3.4061728,4.4061728,Train22784
1.6176012,-0.6176012,Train1794
-2.512566,3.512566,Train10742
0.23079365,0.76920635,Train4844
-4.1706815,5.1706815,Train13252
1.043964,-0.043963984,Train366
-0.79615915,1.7961591,Train7275
-4.086587,5.086587,Train12118
-1.8301053,2.8301053,Train21493
-1.4143169,2.414317,Train7072
-3.3670225,4.3670225,Train24658
1.116346,-0.116345994,Train19160
1.176007,-0.17600702,Train2228
-1.3679404,2.3679404,Train10364
-1.5170643,2.5170643,Train729
2.2898295,-1.2898295,Train2921
-3.9825716,4.9825716,Train11749
1.1573468,-0.1573468,Train730
-0.41006708,1.4100671,Train8275
-1.6096487,2.6096487,Train25153
2.025672,-1.0256718,Train8749
0.7055722,0.2944278,Train3920
-2.9937615,3.9937615,Train12083
-3.7240515,4.7240515,Train17343
1.2648673,-0.26486734,Train1513
1.3918525,-0.3918525,Train3832
0.034817815,0.9651822,Train4918
0.44122475,0.55877525,Train16327
-4.2414904,5.2414904,Train24702
-3.596983,4.596983,Train8082
0.8962814,0.10371856,Train14912
1.5686338,-0.5686338,Train15402
-0.13950157,1.1395016,Train24443
-3.3423743,4.3423743,Train13874
-1.6770179,2.677018,Train16211
-1.0862129,2.0862129,Train16172
-3.1184201,4.11842,Train12297
-2.478017,3.478017,Train7535
1.8549738,-0.85497385,Train216
-2.3383822,3.3383822,Train3352
-4.1910963,5.1910963,Train13873
-0.29537106,1.295371,Train3754
0.0142169,0.9857831,Train5540
3.297847,-2.297847,Train5174
-1.7111385,2.7111385,Train18072
-1.1871822,2.1871822,Train5070
-2.0058398,3.0058398,Train21065
-1.1014218,2.1014218,Train4370
-1.4023046,2.4023046,Train16801
-1.430217,2.430217,Train23305
-2.446636,3.446636,Train14973
-1.1982219,2.198222,Train14703
-0.57240367,1.5724037,Train518
-1.2776186,2.2776186,Train6983
-2.2949624,3.2949624,Train11956
-1.9255872,2.9255872,Train16410
1.8913121,-0.8913122,Train3113
-0.81447387,1.8144739,Train21262
-3.2144003,4.2144003,Train24621
-2.6122983,3.6122983,Train13150
-0.76603603,1.766036,Train8231
0.86868584,0.13131416,Train16305
-2.2857065,3.2857065,Train19492
0.6477639,0.3522361,Train3470
-4.6814985,5.6814985,Train21873
-2.213837,3.213837,Train7987
-0.5554403,1.5554403,Train17950
-5.171062,6.171062,Train14577
-2.3640902,3.3640902,Train18285
-3.973721,4.973721,Train11566
0.24087596,0.75912404,Train3604
0.76289487,0.23710515,Train5874
0.4934547,0.5065453,Train5394
1.7922196,-0.7922196,Train638
1.6437309,-0.6437309,Train442
-1.6596229,2.659623,Train25826
-3.1924915,4.1924915,Train22848
1.761621,-0.761621,Train2550
1.2232609,-0.22326085,Train4013
-0.94716144,1.9471614,Train20640
-1.207639,2.207639,Train17199
-0.41618967,1.4161897,Train6021
1.6660876,-0.66608757,Train5508
0.9913695,0.0086304955,Train1669
-2.3941622,3.3941622,Train22895
2.498961,-1.498961,Train4451
0.13615054,0.86384946,Train18323
-3.4048657,4.4048657,Train25720
-0.09868622,1.0986862,Train7234
-0.65473163,1.6547316,Train6971
-5.1199713,6.1199713,Train8022
0.795377,0.20462298,Train510
-0.2053299,1.2053299,Train9032
-2.1663778,3.1663778,Train25475
1.1934919,-0.19349192,Train14863
-0.67048717,1.6704872,Train434
1.3450243,-0.34502432,Train4131
-0.9341769,1.9341769,Train23480
1.3514662,-0.35146624,Train2467
0.22082269,0.7791773,Train3851
-2.919104,3.919104,Train24802
-2.5529048,3.5529048,Train9238
-2.0003471,3.0003471,Train8009
1.5515201,-0.5515201,Train205
2.523886,-1.523886,Train2692
-3.812982,4.812982,Train11778
1.0473096,-0.047309637,Train9605
2.4919562,-1.4919564,Train14676
-1.4471755,2.4471755,Train16320
-5.589537,6.589537,Train13282
-0.1600771,1.1600771,Train15212
1.2161496,-0.21614951,Train8937
2.3793015,-1.3793017,Train23122
-2.4566457,3.4566457,Train14281
1.2049007,-0.20490074,Train7902
-4.4996686,5.4996686,Train6921
2.6458051,-1.6458051,Train1428
1.0050435,-0.005043515,Train9076
-0.72875917,1.7287592,Train9172
-0.7712567,1.7712567,Train5278
-0.6272571,1.6272571,Train23911
1.8432311,-0.8432311,Train3331
1.7862378,-0.78623784,Train9343
-3.6754026,4.6754026,Train13649
1.1536965,-0.1536966,Train68
0.9364996,0.06350039,Train1538
2.5904117,-1.5904117,Train3094
1.098545,-0.09854494,Train18430
1.73877,-0.73876995,Train3656
-0.7327913,1.7327913,Train24286
-3.6213331,4.621333,Train22131
-1.0436001,2.0436,Train6078
-3.1308227,4.1308227,Train8061
-0.8597369,1.8597369,Train1204
2.1847498,-1.1847498,Train14426
-3.935266,4.935266,Train11946
2.1441941,-1.1441941,Train1508
1.236479,-0.2364791,Train8024
-2.8912473,3.8912473,Train8438
-0.18094647,1.1809465,Train21577
-4.7414446,5.7414446,Train12902
-4.4574323,5.4574323,Train11463
1.1655779,-0.16557795,Train9732
-3.9659882,4.965988,Train13365
-1.3100262,2.3100262,Train24384
-3.5395813,4.5395813,Train7062
-3.4133,4.4133,Train25733
1.722924,-0.722924,Train4829
-4.7217464,5.7217464,Train11909
1.6904142,-0.6904142,Train1340
-4.3993497,5.3993497,Train12090
2.5268497,-1.5268497,Train1888
1.3041075,-0.30410752,Train2792
2.82766,-1.8276602,Train483
-0.50043535,1.5004354,Train25366
-2.6548243,3.6548243,Train8365
-0.47220516,1.4722052,Train25893
1.7351334,-0.7351334,Train5180
1.7138963,-0.7138963,Train73
2.055183,-1.0551829,Train3463
0.97787225,0.022127777,Train1021
-1.2312317,2.2312317,Train7446
1.4541768,-0.45417675,Train4338
1.2578696,-0.25786963,Train542
0.9210525,0.078947484,Train18792
-0.81614184,1.8161418,Train20251
-2.245868,3.245868,Train17557
-4.267115,5.267115,Train13214
-0.23273063,1.2327306,Train25920
0.75528264,0.24471734,Train8345
-1.6746616,2.6746616,Train11063
3.1127744,-2.1127744,Train1448
-1.3155377,2.3155377,Train1094
-1.1933966,2.1933966,Train10017
