crystallizable,non-crystallizable,Label
1.8703139,-0.8703138,Train129
3.3229375,-2.3229375,Train970
-6.721223,7.721223,Train13382
-3.5065966,4.5065966,Train7116
-0.9478688,1.9478688,Train3075
-4.1544967,5.1544967,Train7977
-4.8944883,5.8944883,Train13310
1.4509617,-0.45096174,Train3276
-4.9190307,5.9190307,Train16850
2.60394,-1.6039401,Train7608
-2.4398112,3.4398112,Train14790
0.23207301,0.767927,Train18573
-4.242392,5.242392,Train24606
-0.7040236,1.7040236,Train15327
-1.6828289,2.682829,Train17103
2.7320545,-1.7320545,Train1041
-1.7406461,2.7406461,Train23471
-7.851802,8.851802,Train13829
-4.1270146,5.1270146,Train12496
1.4555268,-0.45552677,Train1852
3.9873676,-2.9873676,Train666
1.1015675,-0.101567514,Train2635
-6.7496667,7.7496667,Train24588
-0.7478472,1.7478472,Train14678
1.9562378,-0.95623785,Train23965
-2.4905238,3.4905238,Train22227
-1.1084392,2.1084392,Train8511
-3.20184,4.20184,Train19469
1.8534429,-0.85344285,Train361
-0.54674745,1.5467474,Train768
-0.38410842,1.3841084,Train3793
0.5468491,0.45315093,Train1756
1.6296635,-0.6296635,Train260
-3.755931,4.755931,Train22784
0.9955746,0.0044254176,Train1794
-4.109628,5.109628,Train10742
-1.6740954,2.6740954,Train4844
-5.8869977,6.8869977,Train13252
1.4965798,-0.49657974,Train366
-2.7075732,3.7075732,Train7275
-6.0071898,7.0071898,Train12118
-3.0024385,4.0024385,Train21493
-4.986617,5.986617,Train7072
-2.9379926,3.9379926,Train24658
-0.37616897,1.376169,Train19160
1.9464301,-0.9464301,Train2228
-2.8044515,3.8044515,Train10364
-0.32361877,1.3236188,Train729
2.5897417,-1.5897418,Train2921
-7.225524,8.225524,Train11749
1.6091918,-0.6091918,Train730
0.015758038,0.98424196,Train8275
-3.5035539,4.503554,Train25153
1.9127574,-0.9127574,Train8749
-1.8983107,2.8983107,Train3920
-2.075627,3.075627,Train12083
-5.833455,6.833455,Train17343
-1.5404012,2.5404012,Train1513
0.781147,0.21885297,Train3832
-4.6010904,5.6010904,Train4918
-1.2438567,2.2438567,Train16327
-5.292912,6.292912,Train24702
-5.261076,6.261076,Train8082
-1.763742,2.763742,Train14912
-0.28398645,1.2839864,Train15402
-1.8943131,2.894313,Train24443
-6.4479985,7.4479985,Train13874
-2.9696984,3.9696984,Train16211
-1.3565295,2.3565295,Train16172
-5.9739175,6.9739175,Train12297
-2.4758067,3.4758067,Train7535
